Title,Rating,Release Date,Timestamp
7号房的礼物,8.9,No release date,2024-09-11T14:35:49.226017
蝙蝠侠：黑暗骑士崛起,8.9,No release date,2024-09-11T14:35:49.227067
被嫌弃的松子的一生,8.8,No release date,2024-09-11T14:35:49.227067
甜蜜蜜,8.9,No release date,2024-09-11T14:35:49.227067
爱在黎明破晓前,8.8,No release date,2024-09-11T14:35:49.227067
第六感,8.9,No release date,2024-09-11T14:35:49.227067
超能陆战队,8.8,No release date,2024-09-11T14:35:49.228132
重庆森林,8.8,No release date,2024-09-11T14:35:49.228132
请以你的名字呼唤我,8.8,No release date,2024-09-11T14:35:49.228132
入殓师,8.9,No release date,2024-09-11T14:35:49.228132
寄生虫,8.8,No release date,2024-09-11T14:35:49.228132
断背山,8.8,No release date,2024-09-11T14:35:49.228132
幽灵公主,8.9,No release date,2024-09-11T14:35:49.228132
剪刀手爱德华,8.7,No release date,2024-09-11T14:35:49.228132
爱在日落黄昏时,8.9,No release date,2024-09-11T14:35:49.228132
勇敢的心,8.9,No release date,2024-09-11T14:35:49.228132
菊次郎的夏天,8.9,No release date,2024-09-11T14:35:49.229515
借东西的小人阿莉埃蒂,8.9,No release date,2024-09-11T14:35:49.229515
未麻的部屋,9.1,No release date,2024-09-11T14:35:49.229515
消失的爱人,8.7,No release date,2024-09-11T14:35:49.229515
无人知晓,9.1,No release date,2024-09-11T14:35:49.229515
时空恋旅人,8.8,No release date,2024-09-11T14:35:49.229515
完美的世界,9.1,No release date,2024-09-11T14:35:49.229515
阳光灿烂的日子,8.8,No release date,2024-09-11T14:35:49.229515
倩女幽魂,8.8,No release date,2024-09-11T14:35:49.230518
哈利·波特与火焰杯,8.8,No release date,2024-09-11T14:35:50.568777
小森林 夏秋篇,9.0,No release date,2024-09-11T14:35:50.568777
天使爱美丽,8.7,No release date,2024-09-11T14:35:50.568777
茶馆,9.6,No release date,2024-09-11T14:35:50.568777
侧耳倾听,8.9,No release date,2024-09-11T14:35:50.568777
驯龙高手,8.8,No release date,2024-09-11T14:35:50.569773
教父3,9.0,No release date,2024-09-11T14:35:50.569773
新世界,8.9,No release date,2024-09-11T14:35:50.569773
怪兽电力公司,8.8,No release date,2024-09-11T14:35:50.569773
幸福终点站,8.8,No release date,2024-09-11T14:35:50.569773
一个叫欧维的男人决定去死,8.9,No release date,2024-09-11T14:35:50.569773
傲慢与偏见,8.7,No release date,2024-09-11T14:35:50.569773
玩具总动员3,8.9,No release date,2024-09-11T14:35:50.569773
头脑特工队,8.8,No release date,2024-09-11T14:35:50.570770
小森林 冬春篇,9.0,No release date,2024-09-11T14:35:50.570770
被解救的姜戈,8.8,No release date,2024-09-11T14:35:50.570770
色，戒,8.7,No release date,2024-09-11T14:35:50.570770
萤火之森,8.8,No release date,2024-09-11T14:35:50.570770
釜山行,8.6,No release date,2024-09-11T14:35:50.570770
神偷奶爸,8.7,No release date,2024-09-11T14:35:50.570770
九品芝麻官,8.7,No release date,2024-09-11T14:35:50.570770
哪吒闹海,9.2,No release date,2024-09-11T14:35:50.571767
告白,8.8,No release date,2024-09-11T14:35:50.571767
喜宴,9.0,No release date,2024-09-11T14:35:50.571767
玛丽和马克思,9.0,No release date,2024-09-11T14:35:50.571767
模仿游戏,8.8,No release date,2024-09-11T14:35:51.965805
大鱼,8.8,No release date,2024-09-11T14:35:51.965805
